object_id,post_id,ms_space_num,active_meter_flag,reason_code,cap_color,work_order,meter_status,is_active,is_temporary,shape,meter_type_id,street_type_id,location_id,district_id,street_id,route_id,vendor_id,zone_id
178425,725-01170,0,M,-,Grey,,Active,1,0,POINT (-122.467255197 37.739342698),2,1,29852,8,725.0,307,2,7
182678,606-06370,0,M,-,Grey,,Active,1,0,POINT (-122.406922498 37.791283603),2,1,29853,226,606.0,740,2,59
184532,333-14050,0,M,-,Grey,,Active,1,0,POINT (-122.401722525 37.726615353),2,1,29854,100,333.0,152,2,74
181277,720-01160,0,M,-,Grey,,Active,1,0,POINT (-122.397656198 37.796298501),2,1,29855,281,720.0,845,2,91
182060,666-24030,0,U,U1,-,,Unmetered,0,0,POINT (-122.440040901 37.785172201),1,1,29856,266,666.0,739,1,43
176813,542-01180,0,M,-,Grey,,Active,1,0,POINT (-122.416614599 37.7793419),2,1,29839,257,542.0,608,2,25
183090,616-02230,0,U,U4,-,,Unmetered,0,0,POINT (-122.408224616 37.787003903),1,1,29857,281,616.0,739,1,14
177701,568-11760,0,U,U5,-,,Unmetered,0,0,POINT (-122.412681598 37.777929203),1,1,29858,218,568.0,739,1,3
182189,400-01420,0,U,U9,-,,Unmetered,0,0,POINT (-122.410793703 37.784225498),1,1,29859,220,400.0,739,1,5
178478,606-02100,0,M,-,Red,,Active,1,0,POINT (-122.400223 37.792252098),2,1,29860,281,606.0,740,2,91
179368,501-03170,17,M,-,Black,,Active,1,0,POINT (-122.404939698 37.784755899),3,1,29861,281,501.0,808,4,40
179447,591-00180,0,M,-,Grey,,Active,1,0,POINT (-122.436053099 37.723902902),2,1,29862,138,591.0,207,2,17
180703,327-07140,0,M,-,Grey,,Active,1,0,POINT (-122.409217301 37.797632101),2,1,29863,226,327.0,512,2,24
180504,384-15220,0,M,-,Green,,Active,1,0,POINT (-122.439517401 37.784049998),2,1,29864,266,384.0,329,3,43
180116,542-10300,0,M,-,Black,,Active,1,0,POINT (-122.418328799 37.787707302),2,1,29865,278,542.0,608,2,42
179336,705-02200,0,M,-,Grey,,Active,1,0,POINT (-122.402018498 37.799497499),2,1,29866,226,705.0,512,2,59
176062,440-63230,0,T,UK,Yellow,,Temporarily Inactive,0,1,POINT (-122.487646999 37.779819702),2,1,29867,53,440.0,845,2,32
185351,831-07480,0,M,-,Grey,,Active,1,0,POINT (-122.389050498 37.780521602),2,1,29868,267,831.0,487,2,45
183682,821-05290,0,M,-,Grey,,Active,1,0,POINT (-122.389025498 37.785838098),2,1,29869,267,821.0,898,2,44
181569,686-07330,0,M,-,Grey,,Active,1,0,POINT (-122.422015803 37.781723998),2,1,29870,257,686.0,620,2,52
183949,691-16290,0,M,-,Grey,,Active,1,0,POINT (-122.42662832 37.798153806),2,1,29871,65,691.0,505,3,54
178687,658-01020,0,T,U8,Yellow,,Temporarily Inactive,0,1,POINT (-122.393963199 37.792359901),2,1,29872,281,658.0,845,2,109
179072,611-03390,0,M,-,Grey,,Active,1,0,POINT (-122.455850702 37.763972602),2,1,29873,187,611.0,412,3,27
181860,692-01260,0,M,-,Grey,,Active,1,0,POINT (-122.406848 37.7680239),2,1,29874,253,692.0,631,3,86
183436,650-16300,0,M,-,Grey,,Active,1,0,POINT (-122.420036399 37.7916552),2,1,29875,278,650.0,425,2,42
175617,327-01180,0,M,-,Grey,,Active,1,0,POINT (-122.400599001 37.798718502),2,1,29876,226,327.0,512,2,59
177501,591-12180,0,M,-,Yellow,,Active,1,0,POINT (-122.455667844 37.723865477),2,1,29877,190,591.0,437,2,53
177965,600-06270,0,M,-,Grey,,Active,1,0,POINT (-122.406456101 37.796908698),2,1,29878,226,600.0,845,2,24
178709,612-22140,0,M,-,Red,,Active,1,0,POINT (-122.4219597 37.7972811),2,1,29879,278,612.0,630,2,28
176914,440-42180,0,M,-,Grey,,Active,1,0,POINT (-122.464917199 37.7811272),2,1,29880,279,440.0,518,2,62
184224,216-30005,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.420950603 37.7649051),3,1,20476,186,,882,4,6
181925,614-11260,0,M,-,Grey,,Active,1,0,POINT (-122.420768 37.786776301),2,1,29881,278,614.0,417,2,42
179849,443-14100,10,M,-,Grey,,Active,1,0,POINT (-122.424844399 37.7865498),3,1,29882,278,443.0,826,4,58
184971,203-02050,0,M,-,Yellow,,Active,1,0,POINT (-122.400109736 37.784847362),2,1,29883,281,203.0,767,2,109
178855,585-03250,0,M,-,Grey,,Active,1,0,POINT (-122.413011102 37.8065837),2,1,29884,264,585.0,210,2,47
178866,606-23020,0,M,-,Yellow,,Active,1,0,POINT (-122.433847099 37.7879927),2,1,29885,276,606.0,354,3,13
184622,324-01005,0,P,-,Yellow,,Pay-by-license plate,0,0,POINT (-122.3999824 37.7929274),3,1,8127,281,324.0,885,4,91
179896,370-01590,0,U,U2,-,,Unmetered,0,0,POINT (-122.418491518 37.763709495),1,1,29886,186,370.0,739,1,6
175221,107-03060,0,M,-,Grey,,Active,1,0,POINT (-122.465411301 37.782728501),2,1,29887,279,107.0,249,2,62
183917,208-02005,0,P,-,Grey,,Pay-by-license plate,0,0,POINT (-122.410777699 37.775676002),3,1,9988,218,208.0,808,4,3
179600,415-18230,0,M,-,Grey,,Active,1,0,POINT (-122.433462901 37.786698199),2,1,29888,276,415.0,354,3,75
174378,360-04180,0,M,-,Grey,,Active,1,0,POINT (-122.463990899 37.783042001),2,1,29889,279,360.0,249,2,62
180871,440-30180,0,M,-,Grey,,Active,1,0,POINT (-122.451887799 37.782025098),2,1,29890,193,440.0,518,2,9
179043,568-22290,0,M,-,Grey,,Active,1,0,POINT (-122.419178199 37.760895298),2,1,29891,186,568.0,599,2,6
174301,321-34420,42,M,-,Grey,,Active,1,0,POINT (-122.496107999 37.7758396),3,1,29892,122,321.0,542,4,85
