route_id,collection_route_desc,collection_subroute,collection_subroute_desc,pmr_route
295,,DPT MOS,,G-1
296,Golden Gate Ave: Unit - 700,417-2,Golden Gate Unit-700,J-1
297,Post St: Unit-600 Geary St,211-3,Ofarrell: Unit - 400,I-3
298,Hyde St: Unit - 1000,413-3,Leavenworth Unit-300,J-3
299,Larkin St: Unit - 1100,414-2,Larkin Unit-1100,E-2
300,Bush St: 100 - 900 Sutter St,209-4,Sutter: Unit - 800,I-3
301,Divisadero St: 800 - 200,130-1,Divisadero,C-1
302,,DPT MOS,,G-4
303,Grove St: Fulton St: McAlliste,M401-1,"Grove St. Unit - 100, Fulton St.",J-4
304,Leland Ave: Unit - 100,309-1,Leland,O-4
305,,,,F-2
306,Mission St: 2500 - 2700,302-1,Mission 2500-2700,R-3
307,West Portal Ave: Unit - 300,320-1,West Portal,A-1
308,Ocean at 19th Ave Lot,M925-1,Ocean at 19th Ave Lot,O-1
309,Sacramento St: 100 - 800,208-2,Sacramento: 700 - 800,I-2
310,Jones St: Unit - 800,212-2,Jones: Unit - 800,J-2
311,Embarcadero North Port,613-1,Embarcadero North | Unit-600,Port 1
312,Willow St: Unit - 200,421-1,Larch: Willow,J-3
313,Lombard St: 2000 - 2400,216-51,Divisadero Pierce Scott Steiner,F-2
314,9th St: Unit - 300 10th St,408-3,S Van Ness Unit,N-1
315,Valencia 24th St 400 - 1200,301-2,Valencia: McCoppin - 24th St,R-5
316,Sansome St: Unit-800 Battery S,205-1,Sansome: Unit - 800 Halleck,I-2
317,Howard St: 100 - 1500,M404-3,Howard St: 800,N-3
318,Diamond St: Mission St,315-2,Mission,O-3
319,Clement St: 1800 - 2400,127-1,Clement (Outer),B-4
320,Bush St: 100 - 900 Sutter St,209-2,Bush: 400 - 900,I-2
321,Bryant St: 300-600 Stillman St,430-52,Bryant: 600,M-3
322,"Hyde St: Unit, 300, 900",M413-1,"Hyde St: Unit, 300, 900",J-4
323,Parnassas St: 300 - 700,123-3,Kirkham,A-3
324,9th St: Unit - 300 10th St,408-1,9th St Unit-300,N-1
325,,DPT MOS,,D-1
326,Bush St: 100 - 900 Sutter St,209-4,Sutter: Unit - 800,J-2
327,Chestnut St; Mongomery St,605-2,Chestnut,Port 1
328,3rd St: 4600 - 5100,308-1,3rd St,O-4
329,Divisadero St: Sacramento St,103-4,California - Presidio,C-2
330,Jones St: Unit - 800,212-6,Mason: Unit - 600,J-2
331,Broadway St: Unit - 800,203-2,Broadway,G-4
332,Lombard St: 2000 - 2400,216-53,Lombard 2000-2400 | Chestnut 2000-2400,F-2
333,Geary St at 21st: Lot,911,Geary at 21st Lot,B-3
334,Post - Geary - O Farrell,113-1,Post-Geary-Ofarrell,E-1
335,Clay St: 100 - 900,213-2,Clay: 100 - 900,I-1
336,Market St: 1600-2300 Castro St,305-1,19th St / Castro / Market,R-1
337,Ocean ave: 2300-2600 Holloway,319-4,Holloway,O-1
338,4th St: Unit 400 5th St:,407-2,4th St,N-4
339,Mission St: 2800 - 3000,306-2,24th / 25th / Cesar Chavez / Mis,R-5
340,9th St: Unit - 300 10th St,408-2,9th St Unit-300,N-1
