road_id,road_surface,road_cond_1,road_cond_2,lighting,control_device
246,Slippery,Construction or Repair Zone,Not Stated,Daylight,Functioning
247,Wet,Construction or Repair Zone,Not Stated,Dark - Street Lights,Unknown
248,Dry,"Holes, Deep Ruts",Not Stated,Dusk - Dawn,Unknown
249,Wet,Construction or Repair Zone,No Unusual Condition,Daylight,Functioning
250,Not Stated,"Holes, Deep Ruts",No Unusual Condition,Dark - Street Lights,Unknown
251,Not Stated,Other,Not Stated,Dark - No Street Lights,Unknown
252,Not Stated,"Holes, Deep Ruts",Not Stated,Dark - Street Lights,Functioning
253,Dry,Reduced Roadway Width,No Unusual Condition,Dark - Street Lights,Unknown
254,Dry,Obstruction on Roadway,Not Stated,Dusk - Dawn,Unknown
255,Wet,"Holes, Deep Ruts",Not Stated,Dark - Street Lights,Functioning
256,Wet,Other,Not Stated,Dusk - Dawn,Unknown
257,Wet,"Holes, Deep Ruts",Loose Material on Roadway,Daylight,Functioning
258,Dry,"Holes, Deep Ruts",Construction or Repair Zone,Daylight,Unknown
259,Wet,No Unusual Condition,Not Stated,Not Stated,Unknown
260,Dry,No Unusual Condition,Not Stated,Dark - No Street Lights,Not Functioning
261,Dry,Loose Material on Roadway,Not Stated,Dusk - Dawn,Unknown
262,Dry,"Holes, Deep Ruts",Not Stated,Daylight,Not Stated
263,Wet,Construction or Repair Zone,Not Stated,Daylight,Not Stated
264,Dry,"Holes, Deep Ruts",Not Stated,Not Stated,Functioning
265,Slippery,Loose Material on Roadway,Construction or Repair Zone,Daylight,Unknown
266,Dry,Loose Material on Roadway,Not Stated,Daylight,Not Stated
267,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,Not Functioning
268,Dry,"Holes, Deep Rut",Construction or Repair Zone,Dark - Street Lights,Not Stated
269,Dry,Other,Not Stated,Not Stated,Unknown
270,Dry,"Holes, Deep Rut",No Unusual Condition,Daylight,Functioning
271,Dry,Loose Material on Roadway,Not Stated,Dusk - Dawn,Functioning
272,Not Stated,"Holes, Deep Ruts",Not Stated,Daylight,Functioning
273,Slippery,No Unusual Condition,Not Stated,Daylight,Not Stated
274,Slippery,"Holes, Deep Rut",Construction or Repair Zone,Daylight,Functioning
275,Dry,Construction or Repair Zone,Not Stated,Dark - Street Lights,Obscured
276,Not Stated,Loose Material on Roadway,Not Stated,Dark - Street Lights,Functioning
277,Wet,Construction or Repair Zone,No Unusual Condition,Dark - Street Lights,Functioning
278,Dry,Obstruction on Roadway,Reduced Roadway Width,Daylight,Functioning
279,Wet,Other,Not Stated,Dark - Street Lights Not Functioning,Functioning
280,Dry,Other,No Unusual Condition,Daylight,Functioning
281,Wet,Construction or Repair Zone,Other,Daylight,Functioning
282,Dry,Reduced Roadway Width,No Unusual Condition,Daylight,Functioning
283,Dry,Other,Not Stated,Dark - Street Lights Not Functioning,Unknown
284,Wet,Construction or Repair Zone,Not Stated,Dark - Street Lights,Functioning
285,Dry,Other,No Unusual Condition,Dark - Street Lights,Unknown
286,Wet,Other,No Unusual Condition,Dark - Street Lights,Functioning
287,Not Stated,"Holes, Deep Rut",Not Stated,Daylight,Functioning
288,Dry,Other,Not Stated,Daylight,Obscured
289,Dry,Construction or Repair Zone,No Unusual Condition,Daylight,Functioning
290,Wet,"Holes, Deep Rut",Construction or Repair Zone,Dark - Street Lights,Functioning
291,Not Stated,Loose Material on Roadway,Other,Dark - Street Lights,Unknown
292,Wet,No Unusual Condition,Not Stated,Dark - No Street Lights,Not Stated
293,Slippery,Not Stated,Not Stated,Dark - Street Lights,Functioning
294,Wet,Other,No Unusual Condition,Dusk - Dawn,Unknown
295,Wet,Other,Not Stated,Dark - No Street Lights,Unknown
296,Not Stated,Loose Material on Roadway,No Unusual Condition,Daylight,Functioning
297,Dry,Other,Not Stated,Dusk - Dawn,Not Stated
298,Wet,Loose Material on Roadway,No Unusual Condition,Dark - Street Lights,Unknown
299,Dry,Flooded,Not Stated,Daylight,Unknown
300,Dry,Other,No Unusual Condition,Dusk - Dawn,Functioning
301,Not Stated,Not Stated,Not Stated,Dark - Street Lights,Not Stated
302,Wet,Not Stated,Not Stated,Dusk - Dawn,Functioning
303,Dry,Loose Material on Roadway,Other,Daylight,Unknown
304,Wet,Loose Material on Roadway,No Unusual Condition,Dark - Street Lights,Functioning
305,Dry,Construction or Repair Zone,Reduced Roadway Width,Dark - Street Lights,Functioning
306,Dry,"Holes, Deep Rut",Obstruction on Roadway,Daylight,Functioning
307,Dry,"Holes, Deep Rut",Not Stated,Daylight,Not Stated
308,Dry,Obstruction on Roadway,Construction or Repair Zone,Dark - Street Lights,Functioning
309,Dry,Loose Material on Roadway,Construction or Repair Zone,Dark - Street Lights,Functioning
310,Slippery,Construction or Repair Zone,Not Stated,Dark - Street Lights,Unknown
311,Dry,"Holes, Deep Rut",Not Stated,Not Stated,Unknown
312,Wet,Construction or Repair Zone,No Unusual Condition,Dark - Street Lights,Unknown
313,Wet,Flooded,Not Stated,Daylight,Functioning
314,Dry,"Holes, Deep Rut",Construction or Repair Zone,Daylight,Unknown
315,Wet,Not Stated,Not Stated,Not Stated,Functioning
316,Wet,Other,No Unusual Condition,Daylight,Not Functioning
317,Dry,Loose Material on Roadway,Obstruction on Roadway,Dark - Street Lights,Unknown
318,Dry,Not Stated,Not Stated,Not Stated,Not Stated
319,Dry,Obstruction on Roadway,Not Stated,Not Stated,Unknown
320,Dry,Reduced Roadway Width,Not Stated,Dusk - Dawn,Unknown
321,Slippery,No Unusual Condition,Not Stated,Dusk - Dawn,Unknown
322,Snowy or Icy,Loose Material on Roadway,Not Stated,Dark - Street Lights,Functioning
323,Wet,Reduced Roadway Width,Not Stated,Dark - Street Lights,Unknown
324,Dry,Loose Material on Roadway,Not Stated,Dark - No Street Lights,Functioning
325,Snowy or Icy,No Unusual Condition,Not Stated,Not Stated,Functioning
326,Not Stated,"Holes, Deep Ruts",Construction or Repair Zone,Daylight,Unknown
327,Dry,"Holes, Deep Ruts",Other,Dark - Street Lights,Unknown
328,Dry,"Holes, Deep Ruts",Not Stated,Dark - No Street Lights,Unknown
329,Dry,Loose Material on Roadway,Other,Dark - Street Lights,Functioning
330,Wet,Other,Not Stated,Daylight,Not Stated
331,Slippery,Other,Not Stated,Dark - Street Lights,Functioning
332,Dry,Construction or Repair Zone,Not Stated,Dark - Street Lights,Not Stated
333,Wet,Loose Material on Roadway,Not Stated,Dark - Street Lights,Functioning
334,Slippery,Reduced Roadway Width,Not Stated,Daylight,Unknown
335,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Obscured
336,Wet,"Holes, Deep Rut",Obstruction on Roadway,Dark - Street Lights,Unknown
337,Dry,Not Stated,Not Stated,Dark - Street Lights,Not Functioning
338,Dry,Obstruction on Roadway,No Unusual Condition,Daylight,Functioning
339,Wet,Reduced Roadway Width,Other,Dark - Street Lights Not Functioning,Functioning
340,Wet,Not Stated,Not Stated,Dusk - Dawn,Not Stated
341,Dry,Construction or Repair Zone,Reduced Roadway Width,Daylight,Unknown
342,Dry,"Holes, Deep Ruts",Construction or Repair Zone,Daylight,Functioning
343,Wet,Not Stated,Not Stated,Dusk - Dawn,Unknown
344,Not Stated,"Holes, Deep Rut",Not Stated,Dark - Street Lights,Unknown
345,Slippery,Loose Material on Roadway,Other,Daylight,Unknown
346,Not Stated,Other,Not Stated,Daylight,Not Functioning
347,Slippery,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning
348,Wet,"Holes, Deep Rut",Loose Material on Roadway,Dark - Street Lights,Not Stated
349,Wet,"Holes, Deep Rut",Not Stated,Daylight,Functioning
350,Dry,Obstruction on Roadway,Not Stated,Daylight,Not Functioning
351,Dry,Obstruction on Roadway,Other,Daylight,Functioning
352,Not Stated,No Unusual Condition,Not Stated,Dark - No Street Lights,Not Stated
353,Wet,Not Stated,Not Stated,Dark - No Street Lights,Obscured
354,Dry,Obstruction on Roadway,Construction or Repair Zone,Dark - Street Lights,Unknown
355,Dry,Obstruction on Roadway,Construction or Repair Zone,Daylight,Obscured
356,Dry,Construction or Repair Zone,Reduced Roadway Width,Dark - Street Lights,Unknown
357,Dry,Loose Material on Roadway,Other,Dark - Street Lights,Unknown
358,Not Stated,No Unusual Condition,Not Stated,Daylight,Not Functioning
359,Dry,Not Stated,Not Stated,Dark - Street Lights Not Functioning,Unknown
360,Dry,Obstruction on Roadway,Not Stated,Dark - Street Lights,Not Stated
361,Not Stated,Construction or Repair Zone,Not Stated,Daylight,Not Stated
362,Slippery,Not Stated,Not Stated,Dusk - Dawn,Unknown
363,Dry,Construction or Repair Zone,Not Stated,Dark - No Street Lights,Functioning
364,Dry,"Holes, Deep Rut",Other,Dusk - Dawn,Unknown
365,Slippery,Not Stated,Not Stated,Daylight,Functioning
366,Not Stated,Other,Not Stated,Dusk - Dawn,Functioning
367,Dry,Loose Material on Roadway,Obstruction on Roadway,Dark - Street Lights,Functioning
368,Wet,"Holes, Deep Rut",Not Stated,Dark - Street Lights,Unknown
