party_id,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,type_of_collision,involves_pedestrian,involves_bicycle,involves_motorcycle,involves_vehicle,ped_action,point,mviw
11954,1.0,Pedestrian,West,Other,Driver,West,Slowing/Stopping,Vehicle/Pedestrian,1,0,0,1,"In Road, Including Shoulder",POINT (-122.420817003 37.782894122),Pedestrian
11955,1.0,Driver,West,Backing,Parked Vehicle,Not Stated,Parked,Hit Object,0,0,0,1,No Pedestrian Involved,POINT (-122.408271584 37.781316359),Parked Motor Vehicle
11956,1.0,Driver,West,Proceeding Straight,Driver,West,Slowing/Stopping,Rear End,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.41809421 37.786100269),Other Motor Vehicle
11957,,Driver,East,Proceeding Straight,Unknown,Unknown,Unknown,Hit Object,0,0,0,1,No Pedestrian Involved,POINT (-122.461109621 37.725215394),Fixed Object
11958,,Driver,East,Making Left Turn,Bicyclist,East,Proceeding Straight,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.430824713 37.773972521),Bicycle
11959,1.0,Driver,West,Making Left Turn,Driver,West,Making Left Turn,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.395405271 37.796682895),Other Motor Vehicle
11960,1.0,Driver,West,Proceeding Straight,Pedestrian,South,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,Crossing in Crosswalk at Intersection,POINT (-122.397612708 37.763793894),Pedestrian
11961,1.0,Driver,South,Changing Lanes,Bicyclist,South,Proceeding Straight,Sideswipe,0,1,0,1,No Pedestrian Involved,POINT (-122.408984615 37.808091007),Bicycle
11962,1.0,Bicyclist,East,Proceeding Straight,Unknown,Unknown,Unknown,Other,0,0,0,0,No Pedestrian Involved,POINT (-122.442204645 37.787843516),Other Object
11963,1.0,Driver,North,Making U Turn,Driver,North,Proceeding Straight,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.405649725 37.742365071),Other Motor Vehicle
11964,1.0,Driver,North,Proceeding Straight,Driver,North,Stopped In Road,Rear End,0,0,0,1,No Pedestrian Involved,POINT (-122.422974332 37.753455755),Other Motor Vehicle
11965,1.0,Bicyclist,East,Entering Traffic,Driver,North,Proceeding Straight,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.409806777 37.750016412),Bicycle
11966,,Driver,North,Proceeding Straight,Pedestrian,West,Other,Sideswipe,1,0,0,1,Crossing Not in Crosswalk,POINT (-122.415397327 37.77677905),Pedestrian
11967,1.0,Driver,West,Proceeding Straight,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.40387382 37.76859109),Other Motor Vehicle
11968,1.0,Driver,North,Ran Off Road,Driver,North,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.471047418 37.711146033),Other Motor Vehicle
11969,1.0,Driver,East,Parking Maneuver,Bicyclist,East,Proceeding Straight,Other,0,1,0,1,No Pedestrian Involved,POINT (-122.442732317 37.78393011),Bicycle
11970,1.0,Bicyclist,West,Proceeding Straight,Driver,South,Proceeding Straight,Broadside,0,1,0,1,No Pedestrian Involved,POINT (-122.454175993 37.781598822),Bicycle
11971,1.0,Pedestrian,North,Not Stated,Driver,North,Proceeding Straight,Vehicle/Pedestrian,1,0,0,1,"In Road, Including Shoulder",POINT (-122.42070951 37.752589015),Pedestrian
11972,1.0,Driver,North,Proceeding Straight,Driver,West,Making Left Turn,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.432447324 37.727637208),Other Motor Vehicle
11973,1.0,Driver,West,Proceeding Straight,Driver,South,Proceeding Straight,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.417025815 37.760367023),Other Motor Vehicle
