location_id,tb_latitude,tb_longitude,police_district
305,37.7467664690664,-122.4143332905311,INGLESIDE
306,37.72699069964457,-122.4749003444401,TARAVAL
307,37.71879466116816,-122.44345376541682,INGLESIDE
308,37.77502089412084,-122.41319756999688,SOUTHERN
309,37.73462557289856,-122.4751024698706,TARAVAL
310,37.76359892151424,-122.44717198511732,PARK
311,37.78435505615628,-122.4329142477854,NORTHERN
312,37.779211685500016,-122.410936574,SOUTHERN
313,37.790265024593154,-122.41556123927056,CENTRAL
314,37.7267982984,-122.38324826199998,BAYVIEW
315,37.7396866459852,-122.4652374418133,TARAVAL
316,37.78589491260552,-122.41972278123994,NORTHERN
317,37.78827973319998,-122.42359407199996,NORTHERN
318,37.78578958465798,-122.41296966679444,TENDERLOIN
319,37.775157559886665,-122.42899645114088,NORTHERN
320,37.72591610944118,-122.433865665828,INGLESIDE
321,37.77685128631195,-122.43817925580038,PARK
322,37.7273351346,-122.40457775000002,BAYVIEW
323,37.769165224785134,-122.45353687535618,PARK
324,37.76395852364476,-122.43329684238256,MISSION
325,37.76414140332715,-122.39178100896648,BAYVIEW
326,37.76511715899999,-122.41857913799998,MISSION
327,37.78061162137412,-122.42373098353656,NORTHERN
328,37.73398171249461,-122.39096463283296,BAYVIEW
329,37.7816608998,-122.4095758,SOUTHERN
330,37.778671401799976,-122.41658308799998,NORTHERN
331,37.789912784601775,-122.4844432187292,Unknown
332,37.71469451263431,-122.48522893462506,TARAVAL
333,37.75242035386016,-122.411879764729,MISSION
334,37.78952434069888,-122.38849034374408,SOUTHERN
335,37.76049045226876,-122.44682504243193,PARK
336,37.766954286255725,-122.44369460342168,PARK
337,37.73479735969506,-122.39069377258822,BAYVIEW
338,37.7635716037,-122.41733240599996,MISSION
339,37.72344678117948,-122.40007300162132,BAYVIEW
340,37.718634055895386,-122.44131776448614,INGLESIDE
341,37.78751434612624,-122.4005816040566,SOUTHERN
342,37.780661508,-122.45881933500002,RICHMOND
343,37.76174715127053,-122.47592409238568,TARAVAL
344,37.78237894364475,-122.41733888009692,NORTHERN
345,37.7614271333,-122.426076502,MISSION
346,37.72123796162765,-122.437364517006,INGLESIDE
347,37.78009258226205,-122.48473226149436,RICHMOND
348,37.76442530823303,-122.43002589377164,MISSION
349,37.752023801062336,-122.39258624920872,BAYVIEW
350,37.76542477346119,-122.4134835941724,MISSION
351,37.765109955172186,-122.4186984254822,MISSION
352,37.7948394984,-122.401487581,CENTRAL
353,37.7771770701706,-122.46078155219922,RICHMOND
354,37.73518425268461,-122.40998997997598,INGLESIDE
355,37.787112457087645,-122.44024995687086,RICHMOND
356,37.78459602858965,-122.41778204245465,NORTHERN
357,37.786572744776976,-122.46672652145908,RICHMOND
358,37.82317492258412,-122.37490670073338,SOUTHERN
359,37.78578448867362,-122.42814818663818,NORTHERN
360,37.731032355077446,-122.471797435888,TARAVAL
361,37.82911001665076,-122.37268899745207,SOUTHERN
362,37.776039321377255,-122.40252409619654,SOUTHERN
363,37.76457698491377,-122.38892917048122,BAYVIEW
364,37.788540787261525,-122.392907584791,SOUTHERN
365,37.7603062636618,-122.41803197364196,MISSION
366,37.761417279577294,-122.48342310261336,TARAVAL
367,37.74109862610096,-122.48952693628128,TARAVAL
368,37.73393255773272,-122.43036850132192,INGLESIDE
369,37.80045855965504,-122.40142824587302,CENTRAL
370,37.76819945288658,-122.42120988235293,MISSION
371,37.77688352678711,-122.42297814861608,NORTHERN
