OBJECTID,POST_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,JURISDICTION,PM_DISTRICT_ID,BLOCKFACE_ID,ACTIVE_METER_FLAG,REASON_CODE,METER_TYPE,METER_VENDOR,METER_MODEL,CAP_COLOR,STREET_ID,STREET_NAME,STREET_NUM,STREET_SEG_CTRLN_ID,LONGITUDE,LATITUDE,WORK_ORDER,COLLECTION_ROUTE,COLLECTION_SUBROUTE,PMR_ROUTE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,shape,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,ON_OFFSTREET_TYPE_DESC,METER_STATUS,METER_TYPE_DESC,GEO_POINT,LOCATION_GRID,IS_ACTIVE,IS_TEMPORARY,PARKING_ZONE
150906,336-11150,0,ON,SFMTA,15.0,336111,M,-,SS,IPS,M5,Grey,336.0,BUSH ST,1115.0,3441000.0,-122.4158901181,37.789187405,,114,114-1,D-1,Bush: 1100 - 1500,Bush: 1100-1500,POINT (-122.415890118 37.789187405),Nob Hill,3,21,50,50,6,3,ON_STREET,Active,Single-space,POINT(-122.4158901181 37.789187405),-122.416_37.789,True,False,15.0_Nob Hill_3
155751,520-10010,0,ON,SFMTA,12.0,520101,U,U3,-,-,-,-,520.0,KEARNY ST,1001.0,7763000.0,-122.4054224004,37.7971953982,,,,G-3,,,POINT (-122.4054224 37.797195398),North Beach,3,23,106,106,6,3,ON_STREET,Unmetered,Unknown,POINT(-122.4054224004 37.7971953982),-122.405_37.797,False,False,12.0_North Beach_3
158249,123-03030,0,ON,SFMTA,21.0,123031,T,UB,SS,IPS,M5,Grey,123.0,23RD AVE,303.0,1213000.0,-122.4827885011,37.781898698700005,,127,127-1,B-4,Clement St: 1800 - 2400,Clement (Outer),POINT (-122.482788501 37.781898699),Outer Richmond,1,29,8,8,8,4,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.4827885011 37.781898698700005),-122.483_37.782,False,True,21.0_Outer Richmond_1
157951,582-01440,0,ON,SFMTA,1.0,582012,U,U5,-,-,-,White,582.0,NEW MONTGOMERY ST,144.0,9546000.0,-122.3992611987,37.7863635988,,,,M-2,,,POINT (-122.399261199 37.786363599),Financial District/South Beach,6,8,32,32,1,10,ON_STREET,Unmetered,Unknown,POINT(-122.3992611987 37.7863635988),-122.399_37.786,False,False,1.0_Financial District/South Beach_6
151424,410-05480,0,ON,SFMTA,36.0,410052,M,-,SS,IPS,M5,Green,410.0,FAXON AVE,548.0,5427000.0,-122.4601646995,37.7245685988,,318,318-1,O-1,Ocean Ave: 1000 - 1900,Ocean 1000-1700,POINT (-122.4601647 37.724568599),Oceanview/Merced/Ingleside,11,24,64,64,10,8,ON_STREET,Active,Single-space,POINT(-122.4601646995 37.7245685988),-122.46_37.725,True,False,36.0_Oceanview/Merced/Ingleside_11
154097,442-07230,0,ON,SFMTA,3.0,442071,M,-,SS,IPS,M5,Grey,442.0,GOLDEN GATE AVE,723.0,6267000.0,-122.4229288993,37.7806460009,,417,417-1,J-3,Golden Gate Ave: Unit - 700,Golden Gate Unit-700,POINT (-122.422928899 37.780646001),Western Addition,5,39,21,21,4,11,ON_STREET,Active,Single-space,POINT(-122.4229288993 37.7806460009),-122.423_37.781,True,False,3.0_Western Addition_5
152641,363-09150,0,ON,SFMTA,12.0,363091,M,UV,SS,IPS,M5,Grey,363.0,COLUMBUS AVE,915.0,4301000.0,-122.4142169,37.8029821021,,202,202-1,F-1,Columbus Ave: Unit - 1100,Columbus,POINT (-122.4142169 37.802982102),Russian Hill,3,32,107,107,6,3,ON_STREET,Active,Single-space,POINT(-122.4142169 37.8029821021),-122.414_37.803,True,False,12.0_Russian Hill_3
157784,568-53080,0,ON,SFMTA,35.0,568532,M,-,SS,IPS,M5,Green,568.0,MISSION ST,5308.0,9183000.0,-122.443013001,37.7143674985,,316,316-1,O-2,Mission St: 4300 - 5300,Mission - Geneva,POINT (-122.443013001 37.714367499),Outer Mission,11,28,80,80,9,1,ON_STREET,Active,Single-space,POINT(-122.443013001 37.7143674985),-122.443_37.714,True,False,35.0_Outer Mission_11
152886,650-24130,0,ON,SFMTA,5.0,650241,M,-,SS,MacKay,mkBeacon,Grey,650.0,SACRAMENTO ST,2413.0,11255000.0,-122.4329466985,37.7899193977,,101,101-53,C-4,Fillmore Hills: 2400 -1700,Sacramento: Webster-Clay,POINT (-122.432946698 37.789919398),Pacific Heights,2,30,102,102,4,6,ON_STREET,Active,Single-space,POINT(-122.4329466985 37.7899193977),-122.433_37.79,True,False,5.0_Pacific Heights_2
156409,720-04090,9,ON,SFMTA,1.0,720041,M,-,MS,MacKay,Elite,Grey,720.0,WASHINGTON ST,409.0,13406000.0,-122.4007472989,37.7957639982,,M-222,M222-1,G-2,Washington St: 200 - 400,Washington St. 400,POINT (-122.400747299 37.795763998),Chinatown,3,6,108,108,6,3,ON_STREET,Active,Multi-space,POINT(-122.4007472989 37.7957639982),-122.401_37.796,True,False,1.0_Chinatown_3
160252,333-23040,0,ON,SFMTA,38.0,333232,T,U8,SS,IPS,M5,Grey,333.0,BAY SHORE BLVD,2304.0,2824202.0,-122.4035197033,37.7116928585,,DPT MOS,DPT MOS,O-4,,,POINT (-122.403519703 37.711692858),Visitacion Valley,10,40,75,75,9,9,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.4035197033 37.7116928585),-122.404_37.712,False,True,38.0_Visitacion Valley_10
154053,651-02010,0,ON,SFMTA,1.0,651021,M,-,SS,IPS,M5,Yellow,651.0,SANSOME ST,203.0,11544000.0,-122.4010537022,37.7922904984,,205,205-1,I-2,,,POINT (-122.401053702 37.792290498),Financial District/South Beach,3,8,108,108,6,3,ON_STREET,Active,Single-space,POINT(-122.4010537022 37.7922904984),-122.401_37.792,True,False,1.0_Financial District/South Beach_3
161469,401-01050,0,ON,SFMTA,13.0,401011,T,U1,SS,IPS,M5,Red,401.0,ELLIS ST,105.0,5170000.0,-122.4080686008,37.7854056981,,DPT MOS,DPT MOS,J-1,,,POINT (-122.408068601 37.785405698),Tenderloin,3,36,19,19,5,3,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.4080686008 37.7854056981),-122.408_37.785,False,True,13.0_Tenderloin_3
156631,701-01140,0,ON,SFMTA,3.0,701012,M,-,SS,IPS,M5,Grey,701.0,VAN NESS AVE,114.0,13144201.0,-122.4194226404,37.77679130320001,,411,411-3,J-4,Gough St: Unit - 500,Hayes / Fell / Oak,POINT (-122.41942264 37.776791303),Tenderloin,6,36,21,21,4,10,ON_STREET,Active,Single-space,POINT(-122.4194226404 37.77679130320001),-122.419_37.777,True,False,3.0_Tenderloin_6
156901,470-00530,0,ON,SFMTA,1.0,470001,T,UX,SS,IPS,M5,Grey,470.0,HOWARD ST,53.0,7028000.0,-122.3917198998,37.7918176026,,DPT MOS,DPT MOS,M-1,,,POINT (-122.3917199 37.791817603),Financial District/South Beach,6,8,108,108,1,10,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.3917198998 37.7918176026),-122.392_37.792,False,True,1.0_Financial District/South Beach_6
152330,826-06590,0,ON,PORT,2.0,826061,M,-,SS,IPS,M5,Grey,826.0,DELANCEY ST,659.0,117000.0,-122.3890206979,37.7830764008,,607,607-4,Port 3,Beale st and Delancy St,Delancy St 600,POINT (-122.389020698 37.783076401),Financial District/South Beach,6,8,31,31,1,10,ON_STREET,Active,Single-space,POINT(-122.3890206979 37.7830764008),-122.389_37.783,True,False,2.0_Financial District/South Beach_6
159942,336-01220,0,ON,SFMTA,1.0,336012,M,-,SS,IPS,M5,Yellow,336.0,BUSH ST,122.0,3420000.0,-122.4003765003,37.7912756008,,209,209-2,I-2,Bush St: 100 - 900 Sutter St,Bush: 400 - 900,POINT (-122.4003765 37.791275601),Financial District/South Beach,3,8,108,108,6,3,ON_STREET,Active,Single-space,POINT(-122.4003765003 37.7912756008),-122.4_37.791,True,False,1.0_Financial District/South Beach_3
156328,725-01350,0,ON,SFMTA,10.0,725011,M,-,SS,IPS,M5,Grey,725.0,WEST PORTAL AVE,135.0,13578101.0,-122.4675598012,37.739086300900006,,320,320-1,A-1,West Portal Ave: Unit - 300,West Portal,POINT (-122.467559801 37.739086301),West of Twin Peaks,7,41,46,46,10,8,ON_STREET,Active,Single-space,POINT(-122.4675598012 37.739086300900006),-122.468_37.739,True,False,10.0_West of Twin Peaks_7
151102,445-06430,0,ON,SFMTA,12.0,445061,T,UY,SS,IPS,M5,Grey,445.0,GREEN ST,643.0,6454000.0,-122.410413902,37.7992779993,,206,206-1,G-4,Powell St: 1000 - 1700,"Green, Filbert, Powell, Union",POINT (-122.410413902 37.799277999),Chinatown,3,6,106,106,6,3,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.410413902 37.7992779993),-122.41_37.799,False,True,12.0_Chinatown_3
153684,327-05150,0,ON,SFMTA,12.0,327051,M,-,SS,IPS,M5,Yellow,327.0,BROADWAY,515.0,3151000.0,-122.4060170014,37.7978678,,203,203-1,G-4,Broadway St: Unit - 800,Broadway,POINT (-122.406017001 37.7978678),North Beach,3,23,106,106,6,3,ON_STREET,Active,Single-space,POINT(-122.4060170014 37.7978678),-122.406_37.798,True,False,12.0_North Beach_3
156081,472-01180,0,ON,SFMTA,3.0,472012,M,-,SS,IPS,M5,Grey,472.0,HYDE ST,118.0,7115000.0,-122.4155193974,37.782119098,,413,413-2,J-3,Hyde St: Unit - 1000,Hyde Unit-600,POINT (-122.415519397 37.782119098),Tenderloin,5,36,20,20,5,10,ON_STREET,Active,Single-space,POINT(-122.4155193974 37.782119098),-122.416_37.782,True,False,3.0_Tenderloin_5
150859,331-04370,0,ON,SFMTA,2.0,331041,M,-,SS,IPS,M5,Grey,331.0,BRYANT ST,437.0,3280000.0,-122.3945241996,37.7822295994,,430,430-51,M-3,Bryant St: 300-600 Stillman St,Bryant: 600,POINT (-122.3945242 37.782229599),Financial District/South Beach,6,8,31,31,1,10,ON_STREET,Active,Single-space,POINT(-122.3945241996 37.7822295994),-122.395_37.782,True,False,2.0_Financial District/South Beach_6
158172,384-06200,0,ON,SFMTA,17.0,384062,M,-,SS,MacKay,mkBeacon,Yellow,384.0,DIVISADERO ST,620.0,4803201.0,-122.4378129018,37.775598999900005,,130,130-2,C-1,Divisadero St: 800 - 200,Divisadero,POINT (-122.437812902 37.775599),Hayes Valley,5,9,23,23,4,11,ON_STREET,Active,Single-space,POINT(-122.4378129018 37.775598999900005),-122.438_37.776,True,False,17.0_Hayes Valley_5
156686,471-07290,0,ON,SFMTA,2.0,471071,M,-,SS,IPS,M5,Grey,471.0,HARRISON ST,729.0,6717000.0,-122.3981276021,37.7818313976,,429,429-1,M-2,Harrison St: 400 - 800,Harrison 400-700,POINT (-122.398127602 37.781831398),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.3981276021 37.7818313976),-122.398_37.782,True,False,2.0_South of Market_6
151123,336-13290,0,ON,SFMTA,15.0,336131,M,-,SS,IPS,M5,Grey,336.0,BUSH ST,1329.0,3443000.0,-122.4196783022,37.7887045023,,114,114-1,D-1,Bush: 1100 - 1500,Bush: 1100-1500,POINT (-122.419678302 37.788704502),Nob Hill,3,21,50,50,4,3,ON_STREET,Active,Single-space,POINT(-122.4196783022 37.7887045023),-122.42_37.789,True,False,15.0_Nob Hill_3
151033,205-05330,0,ON,SFMTA,2.0,205051,T,UC,SS,IPS,M5,Grey,205.0,05TH ST,533.0,305000.0,-122.399290798,37.7771171973,,DPT MOS,DPT MOS,N-4,,,POINT (-122.399290798 37.777117197),South of Market,6,34,32,32,1,10,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.399290798 37.7771171973),-122.399_37.777,False,True,2.0_South of Market_6
159075,705-06100,0,ON,SFMTA,12.0,705062,M,-,SS,IPS,M5,Grey,705.0,VALLEJO ST,610.0,13092000.0,-122.4076336023,37.7987767001,,204,204-5,G-4,Grant Ave: Unit -1500,Grant: 1200 - 1500,POINT (-122.407633602 37.7987767),North Beach,3,23,106,106,6,3,ON_STREET,Active,Single-space,POINT(-122.4076336023 37.7987767001),-122.408_37.799,True,False,12.0_North Beach_3
152622,830-05850,0,ON,PORT,11.0,830051,M,-,SS,IPS,M5,Grey,830.0,EMBARCADERO NORTH,585.0,12555102.0,-122.3988662993,37.8003223007,,613,613-1,Port 1,Embarcadero North Port,Embarcadero North | Unit-600,POINT (-122.398866299 37.800322301),Financial District/South Beach,3,8,77,77,6,3,ON_STREET,Active,Single-space,POINT(-122.3988662993 37.8003223007),-122.399_37.8,True,False,11.0_Financial District/South Beach_3
161849,387-00200,0,ON,SFMTA,29.0,387002,M,-,SS,IPS,M5,Grey,387.0,DUNCAN ST,20.0,4997000.0,-122.4208869,37.746514198300005,,307,307-2,R-5,Mission St: 3100 - 3500,29th / Duncan / Mission / Valenc,POINT (-122.4208869 37.746514198),Bernal Heights,9,2,83,83,9,2,ON_STREET,Active,Single-space,POINT(-122.4208869 37.746514198300005),-122.421_37.747,True,False,29.0_Bernal Heights_9
151600,440-58150,0,ON,SFMTA,21.0,440581,M,UV,SS,IPS,M5,Red,440.0,GEARY BLVD,5815.0,6079101.0,-122.482053302,37.7800797027,,118,118-1,B-3,Geary St: 5000 - 5200,Geary,POINT (-122.482053302 37.780079703),Outer Richmond,1,29,8,8,8,4,ON_STREET,Active,Single-space,POINT(-122.482053302 37.7800797027),-122.482_37.78,True,False,21.0_Outer Richmond_1
152677,362-05240,0,ON,SFMTA,23.0,362052,M,-,SS,MacKay,mkBeacon,Grey,362.0,COLE ST,524.0,4238000.0,-122.4502109994,37.7698912983,,122,122-2,A-3,Haight St: Stanyan St: Masonic,Haight: Stanyan - Masonic,POINT (-122.450210999 37.769891298),Haight Ashbury,5,3,25,25,7,11,ON_STREET,Active,Single-space,POINT(-122.4502109994 37.7698912983),-122.45_37.77,True,False,23.0_Haight Ashbury_5
153948,686-02230,0,ON,SFMTA,13.0,686021,U,UC,SS,IPS,M5,Green,686.0,TURK ST,223.0,12718000.0,-122.4131754988,37.7828440991,,,,J-1,,,POINT (-122.413175499 37.782844099),Tenderloin,5,36,20,20,5,10,ON_STREET,Unmetered,Single-space,POINT(-122.4131754988 37.7828440991),-122.413_37.783,False,False,13.0_Tenderloin_5
158410,328-03030,0,ON,SFMTA,2.0,328031,M,-,SS,MacKay,mkBeacon,Black,328.0,BEALE ST,303.0,2866000.0,-122.392519701,37.7886434988,,405,405-3,M-1,Folsom St: Unit-800 1st:,Essex 1st Fremont Beale,POINT (-122.392519701 37.788643499),Financial District/South Beach,6,8,30,30,1,10,ON_STREET,Active,Single-space,POINT(-122.392519701 37.7886434988),-122.393_37.789,True,False,2.0_Financial District/South Beach_6
159156,500-02210,0,ON,SFMTA,1.0,500021,M,-,SS,IPS,M5,Grey,500.0,JACKSON ST,221.0,7361000.0,-122.4002611988,37.7967870989,,DPT MOS,DPT MOS,G-2,,,POINT (-122.400261199 37.796787099),Financial District/South Beach,3,8,77,77,6,3,ON_STREET,Active,Single-space,POINT(-122.4002611988 37.7967870989),-122.4_37.797,True,False,1.0_Financial District/South Beach_3
161056,658-00363,3,ON,SFMTA,1.0,658002,M,-,MS,MacKay,Tango,Black,658.0,SPEAR ST,36.0,12044000.0,-122.3950328023,37.7932129995,,M-405,M405-5,M-1,Folsom St: Main St: Spear St:,Spear St: Unit,POINT (-122.395032802 37.793212999),Financial District/South Beach,6,8,108,108,6,10,ON_STREET,Active,Multi-space,POINT(-122.3950328023 37.7932129995),-122.395_37.793,True,False,1.0_Financial District/South Beach_6
161847,666-12250,0,ON,SFMTA,15.0,666121,M,-,SS,IPS,M5,Yellow,666.0,SUTTER ST,1225.0,12330000.0,-122.4208433979,37.7876020976,,114,114-1,D-1,Bush: 1100 - 1500,Bush: 1100-1500,POINT (-122.420843398 37.787602098),Nob Hill,3,21,50,50,4,3,ON_STREET,Active,Single-space,POINT(-122.4208433979 37.7876020976),-122.421_37.788,True,False,15.0_Nob Hill_3
154478,418-08690,0,ON,SFMTA,2.0,418081,M,-,SS,IPS,M5,Grey,418.0,FOLSOM ST,869.0,5664000.0,-122.4027987977,37.7806067009,,DPT MOS,DPT MOS,N-3,,,POINT (-122.402798798 37.780606701),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.4027987977 37.7806067009),-122.403_37.781,True,False,2.0_South of Market_6
159493,561-02230,0,ON,SFMTA,1.0,561021,U,U5,SS,IPS,M5,Grey,561.0,MAIN ST,223.0,8629000.0,-122.3926147015,37.7900912994,,,,M-1,,,POINT (-122.392614701 37.790091299),Financial District/South Beach,6,8,108,108,1,10,ON_STREET,Unmetered,Single-space,POINT(-122.3926147015 37.7900912994),-122.393_37.79,False,False,1.0_Financial District/South Beach_6
155083,630-17030,0,ON,SFMTA,34.0,630171,T,UD,SS,IPS,M5,Grey,630.0,QUESADA AVE,1703.0,10816101.0,-122.3914949016,37.733259900300006,,308,308-2,O-4,3rd St: 4600 - 5100,3rd St,POINT (-122.391494902 37.7332599),Bayview Hunters Point,10,1,87,87,2,9,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.3914949016 37.733259900300006),-122.391_37.733,False,True,34.0_Bayview Hunters Point_10
158557,725-03740,0,ON,SFMTA,10.0,725032,M,-,SS,IPS,M5,Grey,725.0,WEST PORTAL AVE,374.0,13579201.0,-122.4703932979,37.736980901,,320,320-2,A-1,West Portal Ave: Unit - 300,West Portal,POINT (-122.470393298 37.736980901),West of Twin Peaks,7,41,46,46,10,8,ON_STREET,Active,Single-space,POINT(-122.4703932979 37.736980901),-122.47_37.737,True,False,10.0_West of Twin Peaks_7
157908,122-13050,0,ON,SFMTA,24.0,122131,M,-,SS,MacKay,mkBeacon,Grey,122.0,22ND AVE,1305.0,1140000.0,-122.4803893782,37.7631795813,,120,120-1,A-5,Inner Irving St: 1800 - 2500,Outer Irving,POINT (-122.480389378 37.763179581),Sunset/Parkside,4,35,39,39,10,7,ON_STREET,Active,Single-space,POINT(-122.4803893782 37.7631795813),-122.48_37.763,True,False,24.0_Sunset/Parkside_4
157434,666-13230,0,ON,SFMTA,15.0,666131,M,-,SS,IPS,M5,Grey,666.0,SUTTER ST,1323.0,12331000.0,-122.4227547319,37.7873593446,,114,114-1,D-1,Bush: 1100 - 1500,Bush: 1100-1500,POINT (-122.422754732 37.787359345),Western Addition,2,39,100,100,4,6,ON_STREET,Active,Single-space,POINT(-122.4227547319 37.7873593446),-122.423_37.787,True,False,15.0_Western Addition_2
161700,701-10030,0,ON,SFMTA,15.0,701101,U,U8,-,-,-,-,701.0,VAN NESS AVE,1003.0,13152101.0,-122.4213906021,37.784920101,,,,E-3,,,POINT (-122.421390602 37.784920101),Western Addition,2,39,100,100,4,11,ON_STREET,Unmetered,Unknown,POINT(-122.4213906021 37.784920101),-122.421_37.785,False,False,15.0_Western Addition_2
155001,581-23430,0,ON,SFMTA,25.0,581231,M,-,SS,IPS,M5,Grey,581.0,NORIEGA ST,2343.0,9664000.0,-122.4890952015,37.7535899997,,332,332-1,A-2,Noriega St: 2300 - 2500,Noriega 30th Ave - 34th Ave,POINT (-122.489095201 37.75359),Sunset/Parkside,4,35,39,39,10,7,ON_STREET,Active,Single-space,POINT(-122.4890952015 37.7535899997),-122.489_37.754,True,False,25.0_Sunset/Parkside_4
151436,336-06350,0,ON,SFMTA,1.0,336061,M,UV,SS,IPS,M5,Grey,336.0,BUSH ST,635.0,3436000.0,-122.408265799,37.7901534987,,209,209-1,I-4,Bush St: 100 - 900 Sutter St,Bush: 200 - 900,POINT (-122.408265799 37.790153499),Financial District/South Beach,3,8,19,19,6,3,ON_STREET,Active,Single-space,POINT(-122.408265799 37.7901534987),-122.408_37.79,True,False,1.0_Financial District/South Beach_3
151661,650-07160,0,ON,SFMTA,1.0,650072,M,-,SS,IPS,M5,Yellow,650.0,SACRAMENTO ST,716.0,11228000.0,-122.4053533,37.7935117976,,208,208-2,I-4,Sacramento St: 100 - 800,Sacramento: 700 - 800,POINT (-122.4053533 37.793511798),Chinatown,3,6,104,104,6,3,ON_STREET,Active,Single-space,POINT(-122.4053533 37.7935117976),-122.405_37.794,True,False,1.0_Chinatown_3
156113,571-00270,0,ON,SFMTA,1.0,571001,M,-,SS,IPS,M5,Yellow,571.0,MONTGOMERY ST,27.0,9297000.0,-122.4022110977,37.7898086001,,221,221-1,I-2,Montgomery St: Unit - 600,Montgomery: Unit - 600,POINT (-122.402211098 37.7898086),Financial District/South Beach,3,8,19,19,6,3,ON_STREET,Active,Single-space,POINT(-122.4022110977 37.7898086001),-122.402_37.79,True,False,1.0_Financial District/South Beach_3
157838,384-04110,0,ON,SFMTA,17.0,384041,M,-,SS,MacKay,mkBeacon,Grey,384.0,DIVISADERO ST,411.0,4801101.0,-122.4376142004,37.7735456013,,130,130-1,C-1,Divisadero St: 800 - 200,Divisadero,POINT (-122.4376142 37.773545601),Hayes Valley,5,9,24,24,7,11,ON_STREET,Active,Single-space,POINT(-122.4376142004 37.7735456013),-122.438_37.774,True,False,17.0_Hayes Valley_5
152358,568-12210,0,ON,SFMTA,14.0,568121,M,-,SS,IPS,M5,Grey,568.0,MISSION ST,1221.0,9103000.0,-122.4136394986,37.776969698200006,,DPT MOS,DPT MOS,N-2,,,POINT (-122.413639499 37.776969698),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.4136394986 37.776969698200006),-122.414_37.777,True,False,14.0_South of Market_6
156345,680-16250,0,ON,SFMTA,26.0,680161,U,U1,SS,IPS,M5,Grey,680.0,TARAVAL ST,1625.0,12402000.0,-122.4840389022,37.7426004977,,,,A-2,,,POINT (-122.484038902 37.742600498),Sunset/Parkside,4,35,40,40,10,7,ON_STREET,Unmetered,Single-space,POINT(-122.4840389022 37.7426004977),-122.484_37.743,False,False,26.0_Sunset/Parkside_4
160780,691-17190,0,ON,SFMTA,8.0,691171,M,-,SS,MacKay,mkBeacon,Grey,691.0,UNION ST,1719.0,12866000.0,-122.4279042014,37.7979916007,,215,215-1,F-2,Union St:1500-2200 Fillmore St,Union,POINT (-122.427904201 37.797991601),Marina,2,13,15,15,4,6,ON_STREET,Active,Single-space,POINT(-122.4279042014 37.7979916007),-122.428_37.798,True,False,8.0_Marina_2
151336,612-12180,18,ON,SFMTA,15.0,612122,U,UC,MS,MacKay,Elite,Black,612.0,POLK ST,1218.0,10566000.0,-122.4201469009,37.7882963986,,,,D-1,,,POINT (-122.420146901 37.788296399),Nob Hill,3,21,50,50,4,3,ON_STREET,Unmetered,Multi-space,POINT(-122.4201469009 37.7882963986),-122.42_37.788,False,False,15.0_Nob Hill_3
154456,581-14340,0,ON,SFMTA,25.0,581142,M,-,SS,IPS,M5,Grey,581.0,NORIEGA ST,1434.0,9655000.0,-122.4794474018,37.7542063993,,322,322-1,A-2,Noriega St: 1200 - 1400,Noriega,POINT (-122.479447402 37.754206399),Sunset/Parkside,4,35,39,39,10,7,ON_STREET,Active,Single-space,POINT(-122.4794474018 37.7542063993),-122.479_37.754,True,False,25.0_Sunset/Parkside_4
155875,306-22070,0,ON,SFMTA,42.0,306221,M,-,SS,MacKay,mkBeacon,Grey,306.0,ALAMEDA ST,2207.0,2136000.0,-122.4070199017,37.7683509,,418,418-3,S-1,Brannan St: 700 - 900 9th St,Townsend/Alameda,POINT (-122.407019902 37.7683509),Mission,6,20,33,33,3,9,ON_STREET,Active,Single-space,POINT(-122.4070199017 37.7683509),-122.407_37.768,True,False,42.0_Mission_6
162093,600-05070,7,ON,SFMTA,12.0,600051,M,-,MS,MacKay,Tango,Black,600.0,PACIFIC AVE,507.0,10122000.0,-122.4038814993,37.7972326026,,M-207,M207-3,G-3,Jackson St: 300 - 400,Pacific St: 300 - 500,POINT (-122.403881499 37.797232603),Chinatown,3,6,106,106,6,3,ON_STREET,Active,Multi-space,POINT(-122.4038814993 37.7972326026),-122.404_37.797,True,False,12.0_Chinatown_3
154515,490-15020,0,ON,SFMTA,24.0,490152,T,UY,SS,IPS,M5,Grey,490.0,IRVING ST,1502.0,7293000.0,-122.474130498,37.7637731013,,DPT MOS,DPT MOS,A-5,,,POINT (-122.474130498 37.763773101),Inner Sunset,7,14,109,109,10,11,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.474130498 37.7637731013),-122.474_37.764,False,True,24.0_Inner Sunset_7
160310,443-02210,0,ON,SFMTA,3.0,443021,M,-,SS,IPS,M5,Grey,443.0,GOUGH ST,221.0,6316000.0,-122.4227988009,37.7755660982,,411,411-1,J-5,Gough St: Unit - 500,Gough Unit-400,POINT (-122.422798801 37.775566098),Hayes Valley,5,9,22,22,4,11,ON_STREET,Active,Single-space,POINT(-122.4227988009 37.7755660982),-122.423_37.776,True,False,3.0_Hayes Valley_5
161520,593-17050,0,ON,SFMTA,5.0,593171,M,-,SS,IPS,M5,Grey,593.0,OFARRELL ST,1705.0,9738000.0,-122.4330076541,37.783186372,,102,102-51,C-3,Fillmore Flats: 1000 - 1500,Fillmore Flats,POINT (-122.433007654 37.783186372),Western Addition,5,39,97,97,4,11,ON_STREET,Active,Single-space,POINT(-122.4330076541 37.783186372),-122.433_37.783,True,False,5.0_Western Addition_5
158837,681-27040,0,ON,SFMTA,6.0,681272,M,-,SS,IPS,M5,Grey,681.0,TAYLOR ST,2704.0,12465000.0,-122.4155905989,37.8074812003,,201,201-52,F-1,Fishermans Wharf,Fishermans Wharf,POINT (-122.415590599 37.8074812),North Beach,3,23,99,99,6,3,ON_STREET,Active,Single-space,POINT(-122.4155905989 37.8074812003),-122.416_37.807,True,False,6.0_North Beach_3
150383,110-03080,0,ON,SFMTA,9.0,110032,M,-,SS,IPS,M5,Yellow,110.0,10TH AVE,308.0,464000.0,-122.4686197155,37.7825388068,,125,125-1,B-2,Clement St: Unit - 1100,Clement,POINT (-122.468619716 37.782538807),Inner Richmond,1,11,5,5,8,4,ON_STREET,Active,Single-space,POINT(-122.4686197155 37.7825388068),-122.469_37.783,True,False,9.0_Inner Richmond_1
150341,568-27270,0,ON,SFMTA,4.0,568271,M,-,SS,MacKay,mkBeacon,Green,568.0,MISSION ST,2727.0,9125000.0,-122.4184274987,37.7530357995,,302,302-1,R-4,Mission St: 2500 - 2700,Mission 2500-2700,POINT (-122.418427499 37.7530358),Mission,9,20,53,53,3,2,ON_STREET,Active,Single-space,POINT(-122.4184274987 37.7530357995),-122.418_37.753,True,False,4.0_Mission_9
151204,569-16320,0,ON,SFMTA,3.0,569162,U,UC,SS,IPS,M5,Grey,569.0,MARKET ST,1632.0,8757201.0,-122.4211468005,37.7738496018,,,,M-1,,,POINT (-122.4211468 37.773849602),Hayes Valley,6,9,21,21,1,11,ON_STREET,Unmetered,Single-space,POINT(-122.4211468005 37.7738496018),-122.421_37.774,False,False,3.0_Hayes Valley_6
161118,470-12210,0,ON,SFMTA,14.0,470121,M,-,SS,IPS,M5,Yellow,470.0,HOWARD ST,1221.0,7051000.0,-122.4121235979,37.775698901000005,,DPT MOS,DPT MOS,N-2,,,POINT (-122.412123598 37.775698901),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.4121235979 37.775698901000005),-122.412_37.776,True,False,14.0_South of Market_6
159898,658-01040,0,ON,SFMTA,1.0,658012,T,U8,SS,IPS,M5,Yellow,658.0,SPEAR ST,104.0,12045000.0,-122.3939155002,37.792321802,,DPT MOS,DPT MOS,M-1,,,POINT (-122.3939155 37.792321802),Financial District/South Beach,6,8,108,108,1,10,ON_STREET,Temporarily Inactive,Single-space,POINT(-122.3939155002 37.792321802),-122.394_37.792,False,True,1.0_Financial District/South Beach_6
